#pro1	pro2	combined score
ADH6	CMD1	9999.000000
ADH6	CPT1	9999.000000
ADH6	CRC1.00	9999.000000
ADH6	CTA1	9999.000000
ADH6	CTT1	9999.000000
ADH6	CYB2	9999.000000
ADH6	CYB5	9999.000000
ADH6	CYC1	9999.000000
ADH6	DCI1	9999.000000
ADH6	DGA1	9999.000000
ADH6	DGK1	9999.000000
ADH6	DPP1	9999.000000
ADH6	"DUR1,2"	9999.000000
ADH6	ECI1	9999.000000
ADH6	EHD3	9999.000000
ADH6	EHT1	9999.000000
ADH6	ELO1	9999.000000
ADH6	ELO2	9999.000000
ADH6	ELO3	9999.000000
ADH6	EPT1	9999.000000
ADH6	ERG1	9999.000000
ADH6	ERG10	9999.000000
ADH6	ERG11	9999.000000
ADH6	ERG25	9999.000000
ADH6	ERG3	9999.000000
ADH6	ERG5	9999.000000
ADH6	ERG7	9999.000000
ADH6	ETR1	9999.000000
ADH6	FAA1	9999.000000
ADH6	FAA2	9999.000000
ADH6	FAA3	9999.000000
ADH6	FAA4	9999.000000
ADH6	FAS1	9999.000000
ADH6	FAS2	9999.000000
ADH6	FAT1	9999.000000
ADH6	FKS1	9999.000000
ADH6	FMP30	9999.000000
ADH6	FMS1	9999.000000
ADH6	FOX2	9999.000000
ADH6	GCY1	0.915000
ADH6	GLN1	9999.000000
ADH6	GPP1	0.900000
ADH6	GPP2	0.914000
ADH6	GPT2	9999.000000
ADH6	GUT1	0.903000
ADH6	GUT2	9999.000000
ADH6	HAT1	9999.000000
ADH6	HEM13	9999.000000
ADH6	HEM3	9999.000000
ADH6	HFA1	9999.000000
ADH6	HFD1	0.794000
ADH6	HMG1	9999.000000
ADH6	HMS1	9999.000000
ADH6	HRD1.00	9999.000000
ADH6	HTD2	9999.000000
ADH6	ICL1	9999.000000
ADH6	IDP2	9999.000000
ADH6	IDP3	9999.000000
ADH6	IFA38	9999.000000
ADH6	INA1	9999.000000
ADH6	IZH2	9999.000000
ADH6	LAT1	9999.000000
ADH6	LCB2	9999.000000
ADH6	LDH1	9999.000000
ADH6	LOA1	9999.000000
ADH6	LPP1	9999.000000
ADH6	LRO1	9999.000000
ADH6	MAE1	9999.000000
ADH6	MCT1	9999.000000
ADH6	MDH3	9999.000000
ADH6	MGA2	9999.000000
ADH6	MGL2	9999.000000
ADH6	MLC1	9999.000000
ADH6	MLC2	9999.000000
ADH6	MLS1	9999.000000
ADH6	NCP1	9999.000000
ADH6	NPL4	9999.000000
ADH6	NTE1	9999.000000
ADH6	OAR1	9999.000000
ADH6	OLE1	9999.000000
ADH6	OPI3	9999.000000
ADH6	PAC1	9999.000000
ADH6	PAH1	9999.000000
ADH6	PCD1	9999.000000
ADH6	PCS60	9999.000000
ADH6	PCT1	9999.000000
ADH6	PET10	9999.000000
ADH6	PEX1	9999.000000
ADH6	PEX10	9999.000000
ADH6	PEX11	9999.000000
ADH6	PEX12	9999.000000
ADH6	PEX13	9999.000000
ADH6	PEX14	9999.000000
ADH6	PEX18	9999.000000
ADH6	PEX19	9999.000000
ADH6	PEX5	9999.000000
ADH6	PEX6	9999.000000
ADH6	PEX7	9999.000000
ADH6	PHM8	9999.000000
ADH6	PHS1	9999.000000
ADH6	PIS1	9999.000000
ADH6	PLB1	9999.000000
ADH6	PLB2	9999.000000
ADH6	PLB3	9999.000000
ADH6	POT1	9999.000000
ADH6	POX1	9999.000000
ADH6	PRE7	9999.000000
ADH6	PSD1	9999.000000
ADH6	PSD2	9999.000000
ADH6	PXA1	9999.000000
ADH6	PXA2	9999.000000
ADH6	PXP1	9999.000000
ADH6	ROG1	9999.000000
ADH6	RSP5	9999.000000
