#node1	node2	combined_score
CPT1	EPT1	0.999
CPT1	OPI3	0.989
CPT1	SPO14	0.966
CPT1	TGL4	0.931
CPT1	NTE1	0.949
CPT1	PAH1	0.982
CPT1	PIS1	0.853
CPT1	PSD1	0.875
CPT1	PAC1	0.9
CPT1	TGL5	0.914
CPT1	DGK1	0.971
CRC1.00	YAT1	0.985
CRC1.00	FAA2	0.923
CRC1.00	YAT2	0.962
CRC1.00	ICL1	0.801
CRC1.00	POX1	0.729
CRC1.00	POT1	0.717
CRC1.00	FOX2	0.895
CRC1.00	IDP2	0.763
CRC1.00	MLS1	0.937
CTA1	PRE7	0.762
CTA1	MDH3	0.781
CTA1	PEX5	0.911
CTA1	MLS1	0.711
CTA1	OAR1	0.716
CTA1	PEX1	0.734
CTA1	FAA2	0.749
CTA1	ICL1	0.752
CTA1	CYC1	0.752
CTA1	CYB2	0.795
CTA1	PXA2	0.8
CTA1	DCI1	0.813
CTA1	ECI1	0.83
CTA1	SPS19	0.847
CTA1	PEX11	0.849
CTA1	PXA1	0.857
CTA1	POT1	0.865
CTA1	FOX2	0.929
CTA1	CTT1	0.962
CTA1	POX1	0.985
CTT1	FAT1	0.91
CTT1	PEX5	0.85
CTT1	PEX10	0.705
CTT1	PXP1	0.934
CTT1	PEX14	0.774
CTT1	POX1	0.989
CTT1	PEX13	0.711
CTT1	CYC1	0.752
CTT1	GCY1	0.817
CTT1	CYB2	0.867
CTT1	STE23	0.902
CTT1	PCD1	0.904
CTT1	FMS1	0.918
CTT1	TES1	0.926
CTT1	NCP1	0.929
CTT1	SPS19	0.945
CTT1	FOX2	0.947
CYB2	YAT2	0.742
CYB2	OLE1	0.71
CYB2	GUT2	0.971
CYB2	POT1	0.735
CYB2	CYC1	0.824
CYB2	MAE1	0.952
CYB2	IDP2	0.753
CYB2	MLS1	0.754
CYB5	OLE1	0.958
CYB5	ERG11	0.928
CYB5	NCP1	0.973
CYB5	MGA2	0.779
CYB5	CYC1	0.884
CYB5	ERG5	0.944
CYB5	MLS1	0.705
CYC1	OLE1	0.754
DCI1	PRE7	0.942
DCI1	PCS60	0.766
DCI1	PEX19	0.738
